canonical_key,artist,track,old_watch_url,old_video_id,new_watch_url,new_video_id,status,resolver_reason
sp:2ZiJidFdQ30nVJEP4u44l3,I Prevail,Blank Space,https://www.youtube.com/watch?v=czb_CZfWko8,czb_CZfWko8,https://www.youtube.com/watch?v=czb_CZfWko8,czb_CZfWko8,kept_direct_playable,
sp:00X2yv2vrtritPt2CZnUTZ,PNL,Bené,https://www.youtube.com/watch?v=NmweQ43916w,NmweQ43916w,https://www.youtube.com/watch?v=NmweQ43916w,NmweQ43916w,kept_direct_playable,
sp:7uQ9KzntzNaenXNb7JCrwH,Matisse,Primer Avión,https://www.youtube.com/watch?v=SuZjTZSHrNo,SuZjTZSHrNo,https://www.youtube.com/watch?v=SuZjTZSHrNo,SuZjTZSHrNo,kept_direct_playable,
sp:1qAuIPMALdFtGv2Ymjy5l0,Shinedown,MONSTERS,https://www.youtube.com/watch?v=J6sIK2KnhH8,J6sIK2KnhH8,https://www.youtube.com/watch?v=J6sIK2KnhH8,J6sIK2KnhH8,unplayable_resolver_returned_unplayable,"cache hit: Shinedown - MONSTERS (Official Video) | Shinedown | views=140,925,575"
sp:4GfK1qOF3uBWidbPlTCQRL,Tulus,Monokrom,https://www.youtube.com/watch?v=QqJ-Vp8mvbk,QqJ-Vp8mvbk,https://www.youtube.com/watch?v=QqJ-Vp8mvbk,QqJ-Vp8mvbk,kept_direct_playable,
sp:4ZtqsOdBbS6GoedzzRGSo9,The Prodigy,Breathe,https://www.youtube.com/watch?v=rmHDhAohJlQ,rmHDhAohJlQ,https://www.youtube.com/watch?v=6_PAHbqq-o4,6_PAHbqq-o4,unplayable_replaced_by_resolver,reranked resolver candidate: The Prodigy - Breathe (Official Video) | The Prodigy
sp:3j796EeLMLBqwlzwufeS7c,DIVINE,Sitara,https://www.youtube.com/watch?v=I2VieNCTFAM,I2VieNCTFAM,https://www.youtube.com/watch?v=I2VieNCTFAM,I2VieNCTFAM,unplayable_resolver_returned_unplayable,reranked resolver candidate: DIVINE - Sitara feat. Jonita Gandhi | Prod. by Karan Kanchan | Official Audio | DIVINE
sp:4LJhJ6DQS7NwE7UKtvcM52,blink-182,What's My Age Again?,https://www.youtube.com/watch?v=K7l5ZeVVoCA,K7l5ZeVVoCA,https://www.youtube.com/watch?v=K7l5ZeVVoCA,K7l5ZeVVoCA,kept_direct_playable,
sp:7rpWDu9GPlLxbLorYKVys7,Burna Boy,Gbona,https://www.youtube.com/watch?v=h7WfPHHXCAY,h7WfPHHXCAY,https://www.youtube.com/watch?v=h7WfPHHXCAY,h7WfPHHXCAY,unplayable_resolver_returned_unplayable,reranked resolver candidate: Burna Boy - Gbona [Official Music Video] | Burna Boy
sp:2uzCfFYh6tSNFdz14ZIf3N,Celia Cruz,La Negra Tiene Tumbao,https://www.youtube.com/watch?v=imeXSRNRMeg,imeXSRNRMeg,https://www.youtube.com/watch?v=imeXSRNRMeg,imeXSRNRMeg,unplayable_resolver_returned_unplayable,reranked resolver candidate: Celia Cruz - La Negra Tiene Tumbao (Official Video) | Celia Cruz
sp:0U1W2LZVUX7qTm7dDpqxh6,Shawn Mendes,When You're Gone,https://www.youtube.com/watch?v=tp4fUH2E8uc,tp4fUH2E8uc,https://www.youtube.com/watch?v=f4qo8lafchw,f4qo8lafchw,unplayable_replaced_by_resolver,reranked resolver candidate: Shawn Mendes - When You're Gone (Official Fan Video) | Shawn Mendes
sp:0bkTdkWwGk3OGFX0afD3Wj,Don Toliver,Mystery Lady,https://www.youtube.com/watch?v=5i6A1IHAQsg,5i6A1IHAQsg,https://www.youtube.com/watch?v=5i6A1IHAQsg,5i6A1IHAQsg,kept_direct_playable,
sp:2mXsZsJBThTaJXbNcg5QD4,Miranda Lambert,Mama's Broken Heart,https://www.youtube.com/watch?v=7yg05svXp98,7yg05svXp98,https://www.youtube.com/watch?v=7yg05svXp98,7yg05svXp98,kept_direct_playable,
sp:6tsojOQ5wHaIjKqIryLZK6,Foo Fighters,All My Life,https://www.youtube.com/watch?v=xQ04WbgI9rg,xQ04WbgI9rg,https://www.youtube.com/watch?v=xQ04WbgI9rg,xQ04WbgI9rg,unplayable_resolver_returned_unplayable,"cache hit: Foo Fighters - All My Life (Official HD Video) | Foo Fighters | views=122,127,341"
sp:2MVwrvjmcdt4MsYYLCYMt8,The Black Keys,Tighten Up,https://www.youtube.com/watch?v=mpaPBCBjSVc,mpaPBCBjSVc,https://www.youtube.com/watch?v=mpaPBCBjSVc,mpaPBCBjSVc,unplayable_resolver_returned_unplayable,"cache hit: The Black Keys - Tighten Up [Official Music Video] | The Black Keys | views=94,847,486"
sp:6Um358vY92UBv5DloTRX9L,Grupo Frontera,Que Vuelvas,https://www.youtube.com/watch?v=gG3516BF5_w,gG3516BF5_w,https://www.youtube.com/watch?v=gG3516BF5_w,gG3516BF5_w,unplayable_resolver_returned_unplayable,reranked resolver candidate: Carin Leon x Grupo Frontera - QUE VUELVAS (Video Oficial) | Grupo Frontera
sp:6H3kDe7CGoWYBabAeVWGiD,The Rolling Stones,Gimme Shelter,https://www.youtube.com/watch?v=RbmS3tQJ7Os,RbmS3tQJ7Os,https://www.youtube.com/watch?v=RbmS3tQJ7Os,RbmS3tQJ7Os,kept_direct_playable,
sp:1GfBLbAhZUWdseuDqhocmn,Flowdan,Rumble,https://www.youtube.com/watch?v=7z25ZZ3DHds,7z25ZZ3DHds,https://www.youtube.com/watch?v=7z25ZZ3DHds,7z25ZZ3DHds,kept_direct_playable,
sp:50Jd7tX7dMu79Oknn7sXSW,Carla Morrison,Compartir,https://www.youtube.com/watch?v=xdfik2FRhck,xdfik2FRhck,https://www.youtube.com/watch?v=xdfik2FRhck,xdfik2FRhck,unplayable_resolver_returned_unplayable,reranked resolver candidate: Carla Morrison - Compartir [VIDEO OFICIAL] | Carla Morrison
sp:1S1bZVv8sqYY39S6KWchuk,Skepta,Papi Chulo,https://www.youtube.com/watch?v=iWOzVBjmAQc,iWOzVBjmAQc,https://www.youtube.com/watch?v=iWOzVBjmAQc,iWOzVBjmAQc,unplayable_resolver_returned_unplayable,reranked resolver candidate: Octavian & Skepta - Papi Chulo | Octavian
sp:7I7Cs5Xr776qavPMjNJknC,Los Acosta,Contra El Dragón,https://www.youtube.com/watch?v=y-FcrrZ0KGk,y-FcrrZ0KGk,https://www.youtube.com/watch?v=y-FcrrZ0KGk,y-FcrrZ0KGk,unplayable_resolver_returned_unplayable,"cache hit: Los Acosta - Contra El Dragón (Video Oficial) | LosAcostaOficial | views=214,934,734"
sp:3ajYmPDtB3P7JTPQ64Dr7P,Tarkan,Kuzu Kuzu,https://www.youtube.com/watch?v=NAHRpEqgcL4,NAHRpEqgcL4,https://www.youtube.com/watch?v=NAHRpEqgcL4,NAHRpEqgcL4,kept_direct_playable,
sp:53QA7j4pHWAtbE3D0Glh7Q,Yelawolf,You and Me,https://www.youtube.com/watch?v=jjNP9hdqfS4,jjNP9hdqfS4,https://www.youtube.com/watch?v=jjNP9hdqfS4,jjNP9hdqfS4,kept_direct_playable,
